DropletID,FreezingTime_s,ContrastStdAtFreezing
1,88,22.8220965813515
2,110,22.5011649544661
3,116,23.9041695501995
4,118,22.1093869825255
5,130,24.591108748981
6,170,26.3895852872918
7,150,27.0154105090431
8,146,21.695570911174
9,156,19.8481933931678
10,176,28.8245845615008
11,140,26.9268325497659
12,198,34.4497596498994
13,158,20.951789018402
14,150,32.0888138612313
15,136,31.1406017570261
16,164,25.5494578339975
17,122,30.0382387268904
18,100,27.735060129568
19,184,27.537229264359
20,166,30.9708818440008
21,208,27.5680255874495
22,80,31.4907317407633
23,138,30.8106908620764
24,142,30.1058706936358
25,136,25.04569622841
26,94,26.4069016916274
27,152,32.6681447573923
28,420,37.6913203477164
29,300,36.7975606308124
30,306,34.374449408211
31,364,28.0124281149234
32,146,27.5622882128836
33,396,34.6175373164126
34,154,28.4223747319122
35,124,23.8988767689184
36,158,33.1594641614099
37,96,30.1230685304642
38,338,33.9134857249861
39,88,29.1380503936579
40,384,30.0365154732087
41,184,29.6600054204014
42,154,33.759198158082
43,100,26.5484863570551
44,116,25.6754626472855
45,190,33.0074772674735
46,110,29.8785569459575
47,272,25.4127803826693
48,114,29.5528012462582
49,322,31.9120942697573
50,250,26.1812813369632
51,392,29.5411687429349
52,102,23.1593400698867
53,148,26.0844033085594
54,108,26.9308458173242
55,120,28.4777249871041
56,380,24.6707562180609
57,370,30.5206183007673
58,132,23.4955221614461
59,414,32.2807240602212
60,302,26.500280125784
61,396,30.7637430964908
62,122,20.9556910956282
63,172,22.3654774947269
64,128,24.992578408352
65,130,27.3342447774754
66,352,25.8396599540867
67,126,26.4628852711693
68,228,20.3145566590764
69,230,30.3324556376504
70,374,22.8824571374814
71,294,26.5911955386137
